situation,thought,emotion,polarity
I am forming a new organization with my friends . , it will not work out . ," ""Fearful",0
The cashier gave me a description of the dress I wanted . , I wouldn't be able to find it . ," ""Angry",0
The cashier gave me a description of the dress I wanted . , it would not be in my size . ," ""Fearful",0
The cashier gave me a description of the dress I wanted . , It won't look good on me . ," ""Sad",0
The cashier gave me a description of the dress I wanted . , it would be too expensive . ," ""Sad",0
The cashier gave me a description of the dress I wanted . , she was trying to scam me . ," ""Angry",0
The cashier gave me a description of the dress I wanted . , it is not the dress for me . ," ""Sad",0
I gave my boss an explanation for why I was late . , he will not believe me . ," ""Sad",0
I gave my boss an explanation for why I was late . , he wouldn't understand . ," ""Fearful",0
I gave my boss an explanation for why I was late . , he will think I am lying . ," ""Sad",0
He gave her flowers on their first date . , he will be too clingy . ," ""Fearful",0
He gave her flowers on their first date . , he is going to try to sleep with her . ," ""Angry",0
He gave her flowers on their first date . , he may be trying to buy her affection . ," ""Fearful",0
He gave her flowers on their first date . , the relationship will not last . ," ""Fearful",0
I am going on a date with my boyfriend tomorrow . , he will not like me . ," ""Sad",0
I am going on a date with my boyfriend tomorrow . , he will break up with me . ," ""Fearful",0
I am going on a date with my boyfriend tomorrow . , that he may not show up . ," ""Angry",0
I am going on a date with my boyfriend tomorrow . , he will cancel on me like he did last week . ," ""Angry",0
My friends are holding my spot in line for the new iPhone . , I will not get one . ," ""Sad",0
My friends are holding my spot in line for the new iPhone . , I will not be able to afford it . ," ""Sad",0
I ask my crush out on a date . , he will say no . ," ""Sad",0
I asked my neighbor if they could water my plants while I'm gone . , they will say no . ," ""Sad",0
I asked my neighbor if they could water my plants while I'm gone . , they might not do a good job . ," ""Fearful",0
I asked my neighbor if they could water my plants while I'm gone . , they will give up on them too soon . ," ""Fearful",0
I asked my roommate if he wanted to go to the game with me . , he will say no . ," ""Sad",0
I bought my first car . , I will have an accident . ," ""Fearful",0
I bought my first car . , I would never be able to afford a better one . ," ""Sad",0
I bought my first car . , it will break down . ," ""Fearful",0
I bought my first car . , it may break down and I'll have to spend a lot of money fixing it . ," ""Fearful",0
I was driving my car on the highway . , I will hit a deer and die . ," ""Fearful",0
I was driving my car on the highway . , I would have an accident . ," ""Fearful",0
I was driving my car on the highway . , I will never get home alive . ," ""Fearful",0
I give my mom a gift for her birthday . , she will not like it . ," ""Sad",0
I helped my friend study for his test . , he will get a better grade than me . ," ""Angry",0
I helped my friend study for his test . , he will not pass . ," ""Sad",0
I helped my friend study for his test . , he will fail . ," ""Sad",0
I keep my fingers crossed for my driving test . , I might not pass . ," ""Fearful",0
I keep my fingers crossed for my driving test . , I will fail . ," ""Sad",0
I left my laptop at home . , I will not be able to finish my work . ," ""Fearful",0
I left my laptop at home . , I will fail the presentation . ," ""Sad",0
I left my laptop at home . , I will not be able to complete the project on time . ," ""Fearful",0
I left my laptop at home . , I will have to use my work computer which is very slow . ," ""Fearful",0
I left my laptop at home . , I will have to use the computer at work . ," ""Sad",0
I let my friends borrow my car . , they will damage it . ," ""Fearful",0
I let my friends borrow my car . , they will not return it on time . ," ""Fearful",0
My brothers let me play with their new toys . , I will get in trouble . ," ""Fearful",0
My brothers let me play with their new toys . , they will take them back when I'm done . ," ""Fearful",0
My brothers let me play with their new toys . , they will not let me play with them again . ," ""Sad",0
I lead two groups in my church . , I will fail  . ," ""Fearful",0
I lead two groups in my church . , I will not be able to meet everyone's needs . ," ""Fearful",0
I lead two groups in my church . , I will never have time for myself . ," ""Angry",0
I lead two groups in my church . , I will not have time to do anything else . ," ""Sad",0
I lead two groups in my church . , one group will not like what I have to say . ," ""Sad",0
The defendant protested his innocence . , he would be convicted . ," ""Sad",0
The defendant protested his innocence . , he will not be believed . ," ""Fearful",0
The defendant protested his innocence . , he might be lying . ," ""Angry",0
The defendant protested his innocence . , he may have been guilty . ," ""Sad",0
I raised my hands to look at the board . , the teacher will ask me a question . ," ""Fearful",0
I raised my hands to look at the board . , the teacher would call on me . ," ""Fearful",0
I raised my hands to look at the board . , my classmates will make fun of me . ," ""Fearful",0
I raised my hands to look at the board . , I will get called on . ," ""Fearful",0
I raised my hands to look at the board . , my teacher would put me on the spot . ," ""Fearful",0
I accept your offer to go for a date . , you will think I am ugly . ," ""Fearful",0
I accept your offer to go for a date . , you will not call me back . ," ""Fearful",0
I accept your offer to go for a date . , you will think I am a loser . ," ""Angry",0
I accept your offer to go for a date . , you may not be asnice as I thought you were . ," ""Fearful",0
I accept your offer to go for a date . , you will cancel on me . ," ""Fearful",0
I accept your offer to go for a date . , you may think I am easy to get . ," ""Sad",0
The host announced my arrival . , I will be late . ," ""Fearful",0
The host announced my arrival . , I am not ready  . ," ""Fearful",0
The host announced my arrival . , I  would be embarrassed . ," ""Fearful",0
The host announced my arrival . , he misspoke and I am not the person he is supposed to be announcing . ," ""Angry",0
The host announced my arrival . , he may have said something embarrassing about me . ," ""Sad",0
The host announced my arrival . , I was the only one who came early . ," ""Sad",0
The questions my boss asked me were very difficult . , I will not be able to answer . ," ""Fearful",0
The questions my boss asked me were very difficult . , I will be fired  . ," ""Fearful",0
The questions my boss asked me were very difficult . , he doesn't think I am competent . ," ""Fearful",0
I went to my friends room to study together . , she would not be there . ," ""Fearful",0
I went to my friends room to study together . , I will be ignored . ," ""Fearful",0
I went to my friends room to study together . , she would not want to study with me . ," ""Sad",0
I went to my friends room to study together . , I won't be able to concentrate . ," ""Fearful",0
I went to my friends room to study together . , he would not be ready and it would be a waste of time . ," ""Sad",0
I also asked for a raise . , I will be fired . ," ""Sad",0
I also asked for a raise . , I will be rejected  . ," ""Fearful",0
I also asked for a raise . , I will never get one . ," ""Sad",0
I also asked for a raise . , my boss will think I'm greedy . ," ""Sad",0
I also asked for a raise . , I will not get it . ," ""Fearful",0
I bring together the people that I know will not get along in order to create a successful work environment  . , they will not be able to put their differences aside . ," ""Fearful",0
I bring together the people that I know will not get along in order to create a successful work environment  . , someone will get upset . ," ""Fearful",0
I bring together the people that I know will not get along in order to create a successful work environment  . , I will be the one that has to fix all the arguments . ," ""Fearful",0
I bring together the people that I know will not get along in order to create a successful work environment  . , the environment will not be successful . ," ""Fearful",0
I bring together the people that I know will not get along in order to create a successful work environment  . , they will not be able to work together and the project will be a failure . ," ""Fearful",0
I bring together the people that I know will not get along in order to create a successful work environment  . , that it will end in disaster . ," ""Fearful",0
I buy the bike from the bike shop  . , I will be overcharged . ," ""Fearful",0
I buy the bike from the bike shop  . , I will regret because it is too expensive . ," ""Sad",0
I buy the bike from the bike shop  . , it will break easily . ," ""Fearful",0
I buy the bike from the bike shop  . , the bike will be stolen . ," ""Angry",0
I continue driving even though I am very tired  . , I will fall asleep at the wheel . ," ""Fearful",0
I continue driving even though I am very tired  . , I will  have an accident  . ," ""Fearful",0
"A lot of people crowd around me, straining to hear what I'm saying . ", I will be judged . ," ""Fearful",0
"A lot of people crowd around me, straining to hear what I'm saying . ", I will get embarrassed and make a fool of myself . ," ""Fearful",0
"A lot of people crowd around me, straining to hear what I'm saying . ", I will feel uncomfortable . ," ""Sad",0
"A lot of people crowd around me, straining to hear what I'm saying . ", I might say something embarrassing . ," ""Fearful",0
"A lot of people crowd around me, straining to hear what I'm saying . ", I will never be heard . ," ""Sad",0
"A lot of people crowd around me, straining to hear what I'm saying . ", I am probably not saying anything interesting . ," ""Sad",0
I hike up a mountain by myself . , I will get lost in the wilderness . ," ""Fearful",0
I hike up a mountain by myself . , I will  meet  a  bear . ," ""Fearful",0
I hike up a mountain by myself . , I will get lost . ," ""Fearful",0
I hike up a mountain by myself . , I may not be able to make it down . ," ""Fearful",0
"My boss yells at me, and I yell back . ", I will get  fired . ," ""Fearful",0
"My boss yells at me, and I yell back . ", I will get written up . ," ""Fearful",0
I spend many hours working on a project that I'm not interested in . , I will be bored . ," ""Sad",0
I spend many hours working on a project that I'm not interested in . , I will not be able to finish it . ," ""Fearful",0
I spend a lot of money on clothes . , I will have no money for food . ," ""Fearful",0
I spend a lot of money on clothes . , I will be broke . ," ""Fearful",0
I spend a lot of money on clothes . , I will never be able to save up . ," ""Sad",0
I show everyone my new car . , I will be regarded as a show-off . ," ""Sad",0
I show everyone my new car . , they will say it's ugly . ," ""Sad",0
I show everyone my new car . , they will all judge me  . ," ""Sad",0
I show everyone my new car . , they will be jealous of me . ," ""Fearful",0
I show everyone my new car . , they will all think it's too expensive . ," ""Fearful",0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ", I will not get to play tennis . ," ""Sad",0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ", I will not be able to get off work on time . ," ""Angry",0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ", I will lose my job if I don't . ," ""Angry",0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ", I will have to work late . ," ""Angry",0
I take my promotion for granted and do not act appreciative . , I will be looked down on . ," ""Sad",0
I take my promotion for granted and do not act appreciative . , I will  be demoted . ," ""Fearful",0
I take my promotion for granted and do not act appreciative . , I will not get another chance . ," ""Sad",0
I take my promotion for granted and do not act appreciative . , my boss will not give me a raise . ," ""Sad",0
My boss asked me to go to work with him today . , I will be fired . ," ""Fearful",0
My boss asked me to go to work with him today . , I may never get a day off . ," ""Angry",0
My boss asked me to go to work with him today . , I may have to do extra work . ," ""Angry",0
My boss asked me to go to work with him today . , I will have to work all day . ," ""Angry",0
I take my boss to the library to find a book for him  . , I will  not find the book . ," ""Fearful",0
I take my boss to the library to find a book for him  . , I will be fired . ," ""Fearful",0
I take my boss to the library to find a book for him  . , I will get lost in the library . ," ""Fearful",0
"I asked my boss for a raise, and he also asked me to work on the weekends . ", I will have to work on the weekends . ," ""Sad",0
"I asked my boss for a raise, and he also asked me to work on the weekends . ", I will have to work even harder with no extra pay . ," ""Angry",0
"I asked my boss for a raise, and he also asked me to work on the weekends . ", I will never get a raise . ," ""Sad",0
I gave my boss a gift . , he will think I am kissing up to him . ," ""Sad",0
I gave my boss a gift . , he will think it's too expensive . ," ""Sad",0
I gave my boss a gift . , he would think I was trying to buy his favor . ," ""Sad",0
I gave my boss a gift . , she will think I am trying to buy my way into a promotion . ," ""Angry",0
I gave my boss a gift . , he may not have liked it . ," ""Sad",0
I also told my boss that I accept the job position . , he will be disappointed  . ," ""Sad",0
I also told my boss that I accept the job position . , I will have to work extra hard to prove myself . ," ""Sad",0
I also told my boss that I accept the job position . , I will have to work more hours . ," ""Sad",0
I also told my boss that I accept the job position . , I may regret my decision later . ," ""Fearful",0
I also told my boss that I accept the job position . , I may not be able to meet his/her expectations . ," ""Fearful",0
I also told my boss that I accept the job position . , I may not be able to work with the new team . ," ""Fearful",0
My boss also took me to a movie . , I will be late . ," ""Fearful",0
My boss also took me to a movie . , he only wants to be friends . ," ""Sad",0
My boss also took me to a movie . , he is try to get in my good graces . ," ""Fearful",0
My boss also took me to a movie . , he is going to try to kiss me . ," ""Angry",0
My boss also took me to a movie . , he may be trying to take advantage of me . ," ""Fearful",0
My boss asks me to stay  later to finish some work . , he is going to give me a bad performance review . ," ""Angry",0
My boss asks me to stay  later to finish some work . , I   will not have time  to  do anything else . ," ""Fearful",0
My boss asks me to stay  later to finish some work . , I will not be able to finish in time . ," ""Fearful",0
My boss asks me to stay  later to finish some work . , I will not be able to go to my daughter's soccer game . ," ""Sad",0
My boss asks me to stay  later to finish some work . , I will not be able to go home to see my family . ," ""Sad",0
I ask my boss to take a look at my resume . , he will think I am not competent . ," ""Fearful",0
I ask my boss to take a look at my resume . , he will not be impressed . ," ""Fearful",0
I ask my boss to take a look at my resume . , he will not have time for me . ," ""Fearful",0
I ask my boss to take a look at my resume . , he may not think I'm qualified enough . ," ""Fearful",0
I ask my boss to take a look at my resume . , he won't think I'm good enough . ," ""Fearful",0
I called my boss this morning to ask for a raise . , he will say no . ," ""Sad",0
I called my boss this morning to ask for a raise . , she would say no . ," ""Fearful",0
I form my opinion of my new boss after talking to her for the first time . , she is strict  . ," ""Fearful",0
I form my opinion of my new boss after talking to her for the first time . , she is difficult to work with . ," ""Fearful",0
I form my opinion of my new boss after talking to her for the first time . , she is not competent . ," ""Sad",0
I form my opinion of my new boss after talking to her for the first time . , she might not be lenient . ," ""Fearful",0
I give my boss a detailed description of the project I have been working on  . , he will not be impressed . ," ""Sad",0
I give my boss a detailed description of the project I have been working on  . , he won't be interested . ," ""Fearful",0
I give my boss a detailed description of the project I have been working on  . , he will think it is not good enough  . ," ""Fearful",0
I give my boss a detailed description of the project I have been working on  . , he will not be able to understand it . ," ""Fearful",0
I give my boss an explanation for why I was late to work . , he will think I am lying . ," ""Sad",0
I give my boss an explanation for why I was late to work . , he won't understand . ," ""Sad",0
I give my boss an explanation for why I was late to work . , I will be yelled at . ," ""Fearful",0
I give my boss an explanation for why I was late to work . , he won't believe me . ," ""Sad",0
I give my girlfriend flowers on our anniversary . , she will think they are cheap . ," ""Fearful",0
I give my girlfriend flowers on our anniversary . , I won't be appreciated . ," ""Sad",0
I give my girlfriend flowers on our anniversary . , she won't like them . ," ""Sad",0
I give my girlfriend flowers on our anniversary . , she might not appreciate the gesture . ," ""Sad",0
I give my girlfriend flowers on our anniversary . , she will think they're saggy . ," ""Fearful",0
I go on a date with my boss . , I will be misinterpreted . ," ""Fearful",0
I go on a date with my boss . , I will be sexually harassed . ," ""Fearful",0
I go on a date with my boss . , I will be rejected . ," ""Fearful",0
I go on a date with my boss . , he is just using me for sex . ," ""Angry",0
I go on a date with my boss . , he may try to take advantage of me . ," ""Fearful",0
I hold my friends place in line while they go to the bathroom . , I will lose my spot in line . ," ""Fearful",0
I hold my friends place in line while they go to the bathroom . , they won't come back . ," ""Fearful",0
I am hugging my boss tightly as a sign of appreciation . , I will be misunderstood . ," ""Sad",0
I am hugging my boss tightly as a sign of appreciation . , he will think I am flirting with him . ," ""Fearful",0
I am hugging my boss tightly as a sign of appreciation . , he will think I am unprofessional . ," ""Fearful",0
I am hugging my boss tightly as a sign of appreciation . , he may think I am trying to make a pass at him . ," ""Fearful",0
I am hugging my boss tightly as a sign of appreciation . , he may think I am hitting on him . ," ""Fearful",0
I ask my boyfriend to come to my job interview with me . , he will refuse . ," ""Fearful",0
I ask my boyfriend to come to my job interview with me . , he will think I am not qualified . ," ""Fearful",0
I ask my neighbor for help because my car won't start . , he will refuse to help me . ," ""Fearful",0
I ask my neighbor for help because my car won't start . , he will say no . ," ""Sad",0
I ask my roommate to turn down the music so I can concentrate on studying . , he / she will give me a dirty looks or say no . ," ""Angry",0
I ask my roommate to turn down the music so I can concentrate on studying . , she will be angry . ," ""Fearful",0
I ask my roommate to turn down the music so I can concentrate on studying . , he or she won't listen to me . ," ""Angry",0
I ask my roommate to turn down the music so I can concentrate on studying . , she will not do it . ," ""Angry",0
I ask my roommate to turn down the music so I can concentrate on studying . , he will not listen to me and I'll have to study in the library . ," ""Angry",0
I ask my roommate to turn down the music so I can concentrate on studying . , he will refuse to do so and make me study in an environment that is not conducive to concentration . ," ""Angry",0
I went to the store and bought myself a new outfit for my date tonight . , I will look stupid . ," ""Fearful",0
I went to the store and bought myself a new outfit for my date tonight . , I'll look bad no matter what I wear . ," ""Sad",0
I went to the store and bought myself a new outfit for my date tonight . , he may not like it . ," ""Sad",0
I'm driving my car on the highway and I see my boss in the car next to me . , he will judge me for being late to work  . ," ""Fearful",0
I'm driving my car on the highway and I see my boss in the car next to me . , I will be fired . ," ""Fearful",0
I'm driving my car on the highway and I see my boss in the car next to me . , he may think I'm not working hard enough . ," ""Fearful",0
I'm driving my car on the highway and I see my boss in the car next to me . , he will think I'm not working if he sees me not in the office . ," ""Fearful",0
I give my opinions about music to my boss . , I will be scolded . ," ""Fearful",0
I give my opinions about music to my boss . , he will not listen . ," ""Angry",0
I give my opinions about music to my boss . , he will think I am not professional . ," ""Fearful",0
I give my opinions about music to my boss . , he will not like what I have to say . ," ""Fearful",0
I help my friend by giving her a job at my company . , I will get into trouble . ," ""Fearful",0
I help my friend by giving her a job at my company . , she will not do her job properly . ," ""Angry",0
I help my friend by giving her a job at my company . , she will not work out . ," ""Fearful",0
I help my friend by giving her a job at my company . , she may not be competent enough . ," ""Fearful",0
I keep my fingers crossed whenever I have to do a presentation in front of my boss . , he will think I am not confident . ," ""Fearful",0
I keep my fingers crossed whenever I have to do a presentation in front of my boss . , I will not be able to give the presentation properly  . ," ""Fearful",0
I keep my fingers crossed whenever I have to do a presentation in front of my boss . , I will fail no matter what . ," ""Sad",0
I keep my fingers crossed whenever I have to do a presentation in front of my boss . , I will still mess up . ," ""Fearful",0
I keep my fingers crossed whenever I have to do a presentation in front of my boss . , he won't think I'm competent . ," ""Fearful",0
"I leave my laptop at home, and I have to use my boss's laptop to do my work . ", I will not be able to work properly . ," ""Fearful",0
"I leave my laptop at home, and I have to use my boss's laptop to do my work . ", I will get in trouble . ," ""Fearful",0
"I leave my laptop at home, and I have to use my boss's laptop to do my work . ", my laptop has all of my important work files on it . ," ""Fearful",0
"I leave my laptop at home, and I have to use my boss's laptop to do my work . ", my boss will think I am not competent . ," ""Fearful",0
I let my daughter play with my phone . , I will be scolded by my wife . ," ""Fearful",0
I let my daughter play with my phone . , I will have to buy a new one . ," ""Fearful",0
I let my daughter play with my phone . , she will break it . ," ""Fearful",0
There was a big crowd around the entrance to the club  . , I will not get in . ," ""Fearful",0
I was getting frustrated with my little sister bugging me so I yelled back  . , I will  get in trouble . ," ""Angry",0
I was getting frustrated with my little sister bugging me so I yelled back  . , I might have scared her . ," ""Fearful",0
I was getting frustrated with my little sister bugging me so I yelled back  . , I was setting a bad example . ," ""Sad",0
I was getting frustrated with my little sister bugging me so I yelled back  . , I may have hurt her feelings . ," ""Sad",0
I spend most of my day either working or at school  . , I will not have time for anything else . ," ""Sad",0
I spend most of my day either working or at school  . , I will miss out  on important aspects of life . ," ""Sad",0
I spend most of my day either working or at school  . , I will never have time for a social life . ," ""Sad",0
I spend a lot of money on Starbucks every month  . , I will become bankrupt  . ," ""Fearful",0
I spend a lot of money on Starbucks every month  . , I will be broke . ," ""Sad",0
I spend a lot of money on Starbucks every month  . , I may not be able to save up for my future . ," ""Fearful",0
I spend a lot of money on Starbucks every month  . , I will never be able to save money . ," ""Sad",0
I soon began to cook more meals at home to save money  . , I will starve myself . ," ""Fearful",0
I soon began to cook more meals at home to save money  . , I will spend more time in the kitchen . ," ""Sad",0
I soon began to cook more meals at home to save money  . , my roommates  would  judge me . ," ""Fearful",0
I soon began to cook more meals at home to save money  . , I would have to compromise my taste . ," ""Sad",0
I soon began to cook more meals at home to save money  . , I would get sick of my own cooking . ," ""Fearful",0
I soon began to cook more meals at home to save money  . , I would miss eating out with friends . ," ""Sad",0
My little sister shows everyone her new toy she got for her birthday  . , I will be given the same toy . ," ""Sad",0
My little sister shows everyone her new toy she got for her birthday  . , I will be jealous . ," ""Sad",0
My little sister shows everyone her new toy she got for her birthday  . , I will be left out . ," ""Sad",0
My little sister shows everyone her new toy she got for her birthday  . , I will never get a present . ," ""Sad",0
My little sister shows everyone her new toy she got for her birthday  . , she is going to get in trouble for bragging . ," ""Sad",0
I took my niece to my work today because her school was closed . , I will get in trouble . ," ""Fearful",0
I took my niece to my work today because her school was closed . , my boss will be mad . ," ""Fearful",0
I took my niece to my work today because her school was closed . , my boss may think I'm not focused . ," ""Fearful",0
I took my little sister to the library because she has to do a school project on ants . , I will be stuck there for hours . ," ""Sad",0
I took my little sister to the library because she has to do a school project on ants . , I will be bored . ," ""Sad",0
I took my little sister to the library because she has to do a school project on ants . , I will have to reads books about ants for her . ," ""Sad",0
I took my little sister to the library because she has to do a school project on ants . , she will be too loud and disrupt everyone . ," ""Fearful",0
I took my little sister to the library because she has to do a school project on ants . , she will be really bored . ," ""Sad",0
I gave my cat a bath and also brushed her fur  . , she will scratch me  . ," ""Fearful",0
I gave my cat a bath and also brushed her fur  . , she will attack me later . ," ""Angry",0
I gave my cat a bath and also brushed her fur  . , my cat will never let me do that again . ," ""Fearful",0
"My boss told me I was being laid off, and also told me to pack up my things and leave by the end of the day . ", I did something wrong . ," ""Sad",0
"My boss told me I was being laid off, and also told me to pack up my things and leave by the end of the day . ", I would never find another job . ," ""Sad",0
"My boss told me I was being laid off, and also told me to pack up my things and leave by the end of the day . ", I will not find a job . ," ""Fearful",0
"My boss told me I was being laid off, and also told me to pack up my things and leave by the end of the day . ", I was going to have to look for a new job . ," ""Fearful",0
"My boss told me I was being laid off, and also told me to pack up my things and leave by the end of the day . ", my life is over . ," ""Sad",0
"My boss told me I was being laid off, and also told me to pack up my things and leave by the end of the day . ", I will struggle to find another job . ," ""Fearful",0
I'm taking my little sister to her first concert  . , the music will be too loud for her . ," ""Fearful",0
I'm taking my little sister to her first concert  . , she will start crying and we will have to leave early . ," ""Fearful",0
I'm taking my little sister to her first concert  . , she might get scared and want to leave . ," ""Fearful",0
I asked my friends to stay for dinner but they said they had to go . , I will be rejected . ," ""Sad",0
I asked my friends to stay for dinner but they said they had to go . , I will be labeled as a bad host . ," ""Sad",0
I asked my friends to stay for dinner but they said they had to go . , I will be considered rude . ," ""Sad",0
I asked my friends to stay for dinner but they said they had to go . , they didn't want to stay for dinner . ," ""Sad",0
I asked my friends to stay for dinner but they said they had to go . , they don't really want to stay . ," ""Sad",0
I was about to ask my boss for a raise when she told me to take a seat  . , I will not get the raise . ," ""Sad",0
I was about to ask my boss for a raise when she told me to take a seat  . , I will be denied . ," ""Fearful",0
I was about to ask my boss for a raise when she told me to take a seat  . , I won't  get  it  . ," ""Sad",0
I was about to ask my boss for a raise when she told me to take a seat  . , she is going to say no . ," ""Fearful",0
I called my doctor this morning to schedule my annual physical  . , I will have to wait a long time to get an appointment . ," ""Angry",0
I called my doctor this morning to schedule my annual physical  . , my insurance won't cover it . ," ""Fearful",0
I called my doctor this morning to schedule my annual physical  . , I won't be able to get in for months . ," ""Sad",0
"After reading the news article, I have decided to form my own opinion on the political situation . ", I will be disappointed with the results . ," ""Sad",0
"After reading the news article, I have decided to form my own opinion on the political situation . ", people will disagree with me . ," ""Fearful",0
"After reading the news article, I have decided to form my own opinion on the political situation . ", that others will think I'm stupid . ," ""Angry",0
"After reading the news article, I have decided to form my own opinion on the political situation . ", others will not respect my opinion . ," ""Angry",0
"After reading the news article, I have decided to form my own opinion on the political situation . ", I may never trust the media again . ," ""Sad",0
"After our first date , he sent me flowers at work to apologize for being late  . ", he will think I am not interested . ," ""Sad",0
"After our first date , he sent me flowers at work to apologize for being late  . ", I thought he was trying to make up for something he did wrong . ," ""Sad",0
"After our first date , he sent me flowers at work to apologize for being late  . ", he is trying to buy my forgiveness . ," ""Angry",0
"After our first date , he sent me flowers at work to apologize for being late  . ", he is going to be too clingy . ," ""Fearful",0
I went on a date with my girlfriend to the movies and out to dinner afterwards  . , she will think I am a cheapskate . ," ""Fearful",0
I went on a date with my girlfriend to the movies and out to dinner afterwards  . , I will have to spend too much money  . ," ""Fearful",0
I went on a date with my girlfriend to the movies and out to dinner afterwards  . , that the date may not have been as good as I thought . ," ""Sad",0
I went on a date with my girlfriend to the movies and out to dinner afterwards  . , we would never speak to each other again . ," ""Sad",0
We were spooning last night when I got a phone call from my mom  . , I was being too loud . ," ""Fearful",0
We were spooning last night when I got a phone call from my mom  . , I will be accused of neglecting her . ," ""Fearful",0
We were spooning last night when I got a phone call from my mom  . , I will have to leave . ," ""Sad",0
We were spooning last night when I got a phone call from my mom  . , our relationship is not going anywhere . ," ""Sad",0
We were spooning last night when I got a phone call from my mom  . , I won't be able to keep my erection . ," ""Angry",0
I text my boyfriend to see if he wanted to get dinner  . , he won't want to see me . ," ""Sad",0
I text my boyfriend to see if he wanted to get dinner  . , he will say no because he is busy . ," ""Sad",0
I text my boyfriend to see if he wanted to get dinner  . , he won't respond  . ," ""Fearful",0
I asked Sarah out to the movies and she said yes! . , she will  cancel  on  me  . ," ""Fearful",0
I asked Sarah out to the movies and she said yes! . , she is only saying yes because she feels bad . ," ""Sad",0
I asked my neighbors if they wanted to have a block party this weekend . , they will say no . ," ""Sad",0
I asked my neighbors if they wanted to have a block party this weekend . , they will say no because they don't like me . ," ""Sad",0
I asked my neighbors if they wanted to have a block party this weekend . , they will not want to come . ," ""Sad",0
I spent too much money on clothes last month and now I can't afford to go out to eat as much  . , I will be hungry . ," ""Sad",0
I spent too much money on clothes last month and now I can't afford to go out to eat as much  . , I will be lonely . ," ""Sad",0
I spent too much money on clothes last month and now I can't afford to go out to eat as much  . , I will be scolded by my friends  . ," ""Fearful",0
I spent too much money on clothes last month and now I can't afford to go out to eat as much  . , I will have to eat ramen for the rest of the month . ," ""Sad",0
I was driving my car on the highway and saw an accident happen  . , I will get in a car accident as well . ," ""Fearful",0
I was driving my car on the highway and saw an accident happen  . , that I'm going to get into one as well . ," ""Fearful",0
I give my mother flowers on Mother's Day  . , she will not like them . ," ""Sad",0
