round_number	emotion	text_id	timestamp	prolific_id	anger	boredom	disgust	fear	guilt	joy	pride	relief	sadness	shame	surprise	trust	generated_text	hidden_emo_text	event_duration	emotion_duration	intensity	confidence	suddenness	familiarity	predict_event	pleasantness	unpleasantness	goal_relevance	chance_responsblt	self_responsblt	other_responsblt	predict_conseq	goal_support	urgency	self_control	other_control	chance_control	accept_conseq	standards	social_norms	attention	not_consider	effort	previous_participation	age	gender	education	ethnicity	extravert	critical	dependable	anxious	open	quiet	sympathetic	disorganized	calm	conventional	did_you_lie?	original_demographics
round-3	anger	3100	2021/09/03 4:17:53 pm EET	69704ffe29e10b91b2334847b48f2e19	1	5	1	1	1	4	4	3	2	1	2	2	my dad left my family	my dad left my family	weeks	weeks	5	5	5	1	1	1	5	5	1	1	5	5	2	5	2	5	5	2	5	3	4	4	5	No, I participated before and answered the next set of questions.	18	Male	High school	Australian/New Zealander	3.0	6.0	6.0	7.0	7.0	5.0	7.0	3.0	5.0	2.0	--	COPIED FROM: text id 311
round-3	anger	3101	2021/09/03 4:18:02 pm EET	779b18d3f0b08ed5619419bd0ebbfc12	1	2	1	1	1	1	1	1	1	1	1	3	Whilst working under high pressure largely keeping  a business afloat single-handedly I was asked for key management data. I took time out to calculate and prepare it, outlined both the maximum, likely and minimum outcomes by a point in time and showed why that was the case, including the details that at each point following the date concerned the outcomes would improve almost exponentially, week on week. After doing so, was told by my colleague that he would report a different, utterly unobtainable figure to the board, because they wouldn't want to hear the actual figure, despite needing to know actual figures for planning and management purposes.	Whilst working under high pressure largely keeping  a business afloat single-handedly I was asked for key management data. I took time out to calculate and prepare it, outlined both the maximum, likely and minimum outcomes by a point in time and showed why that was the case, including the details that at each point following the date concerned the outcomes would improve almost exponentially, week on week. After doing so, was told by my colleague that he would report a different, utterly unobtainable figure to the board, because they wouldn't want to hear the actual figure, despite needing to know actual figures for planning and management purposes.	minutes	hours	5	5	3	4	4	1	5	2	1	1	5	4	1	4	2	4	1	4	5	3	4	3	4	Yes, first time, I will answer the following questions.	51	Male	Graduate degree (MA/MSc/MPhil/other)	European	5.0	5.0	6.0	2.0	5.0	5.0	6.0	3.0	5.0	2.0	--	ORIGINAL
round-3	anger	3102	2021/09/03 4:19:44 pm EET	736cf5f82cbba60c01fe0986a8ff847e	1	2	1	1	2	1	1	1	1	1	1	1	my brother took something without asking and used half of it	my brother took something without asking and used half of it	hours	minutes	2	5	4	2	2	1	4	1	1	1	5	1	1	3	1	1	1	5	4	2	2	1	2	Yes, first time, I will answer the following questions.	25	Female	Graduate degree (MA/MSc/MPhil/other)	North American	2.0	4.0	6.0	6.0	3.0	6.0	3.0	2.0	4.0	4.0	--	ORIGINAL
round-3	anger	3103	2021/09/03 4:20:36 pm EET	71b02c2b99805a5b65fe1658ebff3d78	1	3	1	1	1	2	2	1	1	1	1	1	My co worker who is roughly 20 - 30 years older than me walking away from customers when they come asking me to serve them while she pretends to be working. This happens all the time and I can't do anything as she is older and is respected upon management.	My co worker who is roughly 20 - 30 years older than me walking away from customers when they come asking me to serve them while she pretends to be working. This happens all the time and I can't do anything as she is older and is respected upon management.	hours	hours	4	4	2	3	3	2	4	2	1	4	5	3	3	1	3	5	1	4	3	3	3	1	4	Yes, first time, I will answer the following questions.	18	Male	High school	European	5.0	2.0	6.0	2.0	6.0	3.0	4.0	4.0	5.0	2.0	--	ORIGINAL
round-3	anger	3104	2021/09/03 4:22:03 pm EET	ee44c445eccad52622756c9188e1f416	1	2	1	1	2	1	1	2	1	1	1	1	my child was rude	my child was rude	hours	minutes	2	2	4	4	4	2	4	3	3	3	4	4	1	4	4	2	1	3	5	3	4	1	4	Yes, first time, I will answer the following questions.	43	Female	Undergraduate degree (BA/BSc/other)	European	2.0	3.0	7.0	7.0	2.0	7.0	7.0	2.0	2.0	3.0	--	ORIGINAL
round-3	anger	3105	2021/09/03 4:23:49 pm EET	62b7d439f290de1db0295d6a70262065	2	2	2	1	1	4	2	2	1	1	2	3	when i was young and was sexually assaulted, i was at subway with my friend we biked there and i dont know if you want details but he sexually assaulted me, i did nothing and told no one cause i was young and scaed but now that i am 20 looking back i wish i acted differently, i hope hes dead or in jail	when i was young and was sexually assaulted, i was at subway with my friend we biked there and i dont know if you want details but he sexually assaulted me, i did nothing and told no one cause i was young and scaed but now that i am 20 looking back i wish i acted differently, i hope hes dead or in jail	minutes	weeks	5	5	5	1	1	1	5	5	1	1	5	5	1	3	1	5	1	1	5	5	4	5	5	No, I participated before and answered the next set of questions.	20	Female	High school	North American	6.0	5.5	6.5	5.5	6.0	3.0	5.5	1.0	5.5	2.0	--	AVERAGED: text id 37, 51033
round-3	anger	3106	2021/09/03 4:24:03 pm EET	44f2e5ed07d458560fe14bf392aaa678	3	5	2	4	2	2	2	1	5	2	1	3	I feel anger when my mother and father don't understand my depression and anxiety.	I feel ... when my mother and father don't understand my depression and anxiety.	weeks	weeks	5	5	1	5	5	1	5	1	1	3	5	3	1	2	1	5	1	1	5	3	5	5	5	Yes, first time, I will answer the following questions.	20	Female	High school	North American	1.0	4.0	7.0	7.0	3.0	7.0	7.0	2.0	1.0	1.0	--	ORIGINAL
round-3	anger	3107	2021/09/03 4:24:07 pm EET	21f3f81fbdf331fdc8eef7c975079d3c	1	1	1	1	1	1	1	1	1	1	1	1	my mother made me feel like a child	my mother made me feel like a child	minutes	days	5	4	5	1	2	1	5	5	1	4	4	3	1	5	3	4	1	4	2	1	4	5	5	No, I participated before and answered the next set of questions.	26	Female	Graduate degree (MA/MSc/MPhil/other)	European	3.0	1.0	5.0	5.0	5.0	6.0	7.0	1.0	4.0	5.0	--	COPIED FROM: text id 365
round-3	anger	3108	2021/09/03 4:25:06 pm EET	35329ebc672688e893691f04f2fb2cde	1	3	1	1	1	2	1	1	1	1	1	2	I lost a very heated game of League of Legends	I lost a very heated game of League of Legends	minutes	hours	4	5	3	4	5	1	4	1	2	3	5	5	1	2	3	5	1	5	1	1	5	4	4	No, I participated before and answered the next set of questions.	29	Male	Undergraduate degree (BA/BSc/other)	European	2.0	3.0	3.0	1.0	7.0	7.0	5.0	5.0	6.0	6.0	--	COPIED FROM: text id 312
round-3	anger	3109	2021/09/03 4:31:05 pm EET	77cbb39d3cddc88289673336a14f4c4d	1	3	1	1	2	3	3	4	1	1	1	2	I felt that my hard work has not been recognised or paid off	I felt that my hard work has not been recognised or paid off	hours	hours	3	4	3	4	4	1	5	3	1	1	5	4	3	3	3	4	1	3	4	1	4	3	3	Yes, first time, I will answer the following questions.	25	Female	Graduate degree (MA/MSc/MPhil/other)	European	5.0	1.0	7.0	3.0	6.0	4.0	6.0	1.0	7.0	2.0	--	ORIGINAL
round-3	anger	3110	2021/09/03 4:32:49 pm EET	8b8f157835767f6c42a7a3f2a66d44c6	1	2	2	2	3	5	4	5	1	2	4	5	I was teaching someone	I was teaching someone	seconds	seconds	4	5	4	5	4	5	2	4	4	5	4	5	4	4	4	5	4	2	4	5	5	4	4	Yes, first time, I will answer the following questions.	24	Male	High school	African	2.2	3.0	6.0	2.0	6.5	6.2	6.8	1.0	6.5	3.0	--	AVERAGED: text id 3110, 319, 336, 366
round-3	anger	3113	2021/09/03 4:35:22 pm EET	f05e045c8ed31280a52970d8ae8a0235	2	2	1	2	1	4	5	5	1	1	1	5	I felt anger when another driver pulled out Infront of me on a very dangerous road and almost caused me to crash	I felt ... when another driver pulled out Infront of me on a very dangerous road and almost caused me to crash	minutes	minutes	4	5	5	5	1	1	5	5	1	1	5	4	1	5	5	5	1	1	5	5	5	1	5	No, I participated before and answered the next set of questions.	37	Female	Undergraduate degree (BA/BSc/other)	European	2.0	5.0	6.0	6.0	2.0	1.0	7.0	5.0	4.0	3.0	--	COPIED FROM: text id 324
round-3	anger	3115	2021/09/03 4:36:55 pm EET	1d065d7c40002fc2f4de0026f5cdfd95	1	2	1	2	1	1	1	1	1	1	1	1	When my roommates wouldn't let a friend of mine stay there for the night when they had nowhere to sleep and were not accommodating at all	When my roommates wouldn't let a friend of mine stay there for the night when they had nowhere to sleep and were not accommodating at all	minutes	minutes	4	5	3	5	5	1	4	4	1	2	4	5	1	4	2	5	2	5	4	1	3	4	2	Yes, first time, I will answer the following questions.	21	Female	Undergraduate degree (BA/BSc/other)	European	5.0	5.0	7.0	7.0	7.0	6.0	6.0	1.0	2.0	5.0	--	ORIGINAL
round-3	anger	3116	2021/09/03 4:37:31 pm EET	4b7502650f258fb3605a79c0d0736d90	1	2	1	1	1	1	3	1	1	1	1	3	I wasn't promoted to a supervisor role over a colleague who just started	I wasn't promoted to a supervisor role over a colleague who just started	seconds	minutes	3	4	5	1	3	3	3	2	3	2	4	4	2	1	1	5	1	5	4	1	1	5	1	Yes, first time, I will answer the following questions.	35	Male	Undergraduate degree (BA/BSc/other)	European	2.0	5.0	5.0	3.0	6.0	5.0	6.0	5.0	5.0	5.0	--	ORIGINAL
round-3	anger	3117	2021/09/03 4:38:35 pm EET	94b6229d5895208ff9529888a4cd4070	1	3	1	1	1	3	2	2	2	1	1	1	I was cheated on.	I was cheated on.	days	days	4	5	4	1	1	1	5	1	5	1	5	3	1	5	3	5	3	1	4	1	3	3	4	Yes, first time, I will answer the following questions.	21	Female	High school	North American	2.0	2.0	5.0	3.0	5.0	5.0	6.0	1.0	4.0	2.0	--	ORIGINAL
round-3	anger	3118	2021/09/03 4:40:57 pm EET	94122fbc9f7c40882d583faed3fcb6e9	2	3	1	1	1	3	3	2	1	1	1	3	A man was walking late at night with his dog off a leash. It ran into my garden and killed my sleeping cat. He walked away without saying or doing anything until he saw me chasing after him down the street with a large kitchen knife.	A man was walking late at night with his dog off a leash. It ran into my garden and killed my sleeping cat. He walked away without saying or doing anything until he saw me chasing after him down the street with a large kitchen knife.	seconds	days	5	4	5	4	1	2	4	4	2	1	4	2	1	3	2	4	3	3	4	4	3	1	4	Yes, first time, I will answer the following questions.	29	Male	Graduate degree (MA/MSc/MPhil/other)	European	3.0	4.0	6.0	4.0	5.0	5.0	5.0	4.0	5.0	4.0	--	ORIGINAL
round-3	anger	3123	2021/09/03 5:00:49 pm EET	45aa0a5990ec5816238a4e737c619c83	1	2	1	1	1	2	2	2	1	1	1	1	my sister's boyfriend broke into her house and hit her in the head with a hammer.	my sister's boyfriend broke into her house and hit her in the head with a hammer.	minutes	weeks	5	5	5	3	4	1	5	2	1	1	5	4	2	5	1	5	2	4	5	3	4	1	5	Yes, first time, I will answer the following questions.	39	Female	Undergraduate degree (BA/BSc/other)	African	2.0	1.0	5.0	5.0	5.0	6.0	7.0	3.0	5.0	4.0	--	ORIGINAL
round-3	anger	30	2021/09/03 3:43:11 pm EET	65846af3dc8205fc45821efda37a6b44	3	2	1	3	4	2	3	1	4	4	2	2	my partner gaslights me to get money from me for alcohol and cannabis	my partner gaslights me to get money from me for alcohol and cannabis	hours	minutes	4	5	2	5	5	1	5	3	1	1	5	5	1	3	1	5	1	1	5	4	3	4	4	Yes, first time, I will answer the following questions.	31	Female	Undergraduate degree (BA/BSc/other)	European	5.0	2.0	4.0	7.0	3.0	7.0	5.0	2.0	3.0	3.0	--	ORIGINAL
round-3	anger	31	2021/09/03 3:43:54 pm EET	cbbc69c884a2dedb362a2d0751fcbc54	1	3	1	1	1	1	1	2	1	2	1	2	I felt anger when I was rejected via email for a job after having completed 4 separate interviews with the company. I felt this way because, up until then, I felt that the process had gone very well, and, having gotten so far, I was very excited at the prospect of getting the job.	I felt ... when I was rejected via email for a job after having completed 4 separate interviews with the company. I felt this way because, up until then, I felt that the process had gone very well, and, having gotten so far, I was very excited at the prospect of getting the job.	seconds	days	2	4	5	3	2	1	4	4	1	3	3	2	4	1	1	5	1	4	4	1	1	4	2	Yes, first time, I will answer the following questions.	20	Male	Undergraduate degree (BA/BSc/other)	North American	5.0	5.0	3.0	2.0	6.0	5.0	5.0	5.0	6.0	3.0	--	ORIGINAL
